month	mouse	ID	GFP	B	T	CD19negCD3posCD11bpos	M	CD19negCD3negCD11bneg	numb
3	mock1	931-28022014_Mouse 1177160.fcs	GFP+	72.9	11.3	0.73	0.038	1.37	6768
3	1	931-28022014_Mouse 1186366.fcs	GFP+	76.9	2.97	6.45	0.58	0.27	44412
3	2	931-28022014_Mouse 1186367.fcs	GFP+	60	13.6	8.95	0.94	1.57	4900
3	mock2	931-28022014_Mouse 1189248.fcs	GFP+	78.5	6.79	1.66	0	0.71	18422
3	3	931-28022014_Mouse 1189249.fcs	GFP+	63.5	9.93	8.63	0.69	1.03	7372
3	4	931-28022014_Mouse 1189250.fcs	GFP+	80.2	2.21	5.29	0.34	0.24	9037
4	mock1	931-28032014_1177160.fcs	GFP+	70.9	15.4	1.45	0	1.52	15386
4	1	931-28032014_1186366.fcs	GFP+	64.1	8.56	7.6	0.9	0.79	10528
4	2	931-28032014_1186367.fcs	GFP+	71.8	4.94	10.5	0.9	0.34	26427
4	mock2	931-28032014_1189248.fcs	GFP+	90.5	4.09	0.75	0	0.55	1508
4	3	931-28032014_1189249.fcs	GFP+	81.7	3.74	4.91	0.37	0.26	22321
4	4	931-28032014_1189250.fcs	GFP+	62.8	3.48	18.8	1.4	0.35	50408
4	5	931-28032014_1199334.fcs	GFP+	46.6	18.3	11.8	0.61	1.5	4627
4	mock3	931-28032014_1199335.fcs	GFP+	66.1	7.85	4.32	0.3	0.87	4571
5	mock1	931-24042014_Mouse 1177160.fcs	GFP+	79.1	10.7	3.56	0.16	1.78	7665
5	1	931-24042014_Mouse 1186366.fcs	GFP+	79.3	2.57	0.49	8.42	9.49	2666
5	2	931-24042014_Mouse 1186367.fcs	GFP+	78.4	2.77	1.2	8.49	8.71	21068
5	mock2	931-24042014_Mouse 1189248.fcs	GFP+	92.1	3.12	1.3	0.13	0.39	324
5	3	931-24042014_Mouse 1189249.fcs	GFP+	79.1	3.41	0.041	8.67	9.86	6846
5	4	931-24042014_Mouse 1189250.fcs	GFP+	88.7	1.38	0.13	4.39	4.63	21365
5	5	931-24042014_Mouse 1199334.fcs	GFP+	40	2.93	0.26	28.2	34.2	9835
5	mock3	931-24042014_Mouse 1199335.fcs	GFP+	70.2	22.1	0.51	10.9	0.87	769
6	mock1	931-27052014_Mouse 1177160.fcs	GFP+	72.1	10.4	2.31	0.2	3.88	2619
6	1	931-27052014_Mouse 1186366.fcs	GFP+	63.8	2	2.7	12.9	3.55	3336
6	2	931-27052014_Mouse 1186367.fcs	GFP+	59	3.12	5.29	11.6	2.14	2174
6	mock2	931-27052014_Mouse 1189248.fcs	GFP+	74.1	8.95	2.22	0.15	3.19	21655
6	3	931-27052014_Mouse 1189249.fcs	GFP+	51.3	3.79	6.86	8.62	3.48	2.91E+04
6	4	931-27052014_Mouse 1189250.fcs	GFP+	78.1	1.75	2.83	5.02	0.9	27484
6	5	931-27052014_Mouse 1199334.fcs	GFP+	29.9	5.63	12.2	21.2	11.2	3904
6	mock3	931-27052014_Mouse 1199335.fcs	GFP+	66.9	4.81	3.23	6.87	2.53	14052
7	mock1	931-26062014_Mouse 1177160.fcs	GFP+	82.9	11.2	0.51	0.61	0.51	8414
7	1	931-26062014_Mouse 1186366.fcs	GFP+	82	2.77	0.6	6.64	0.88	8028
7	2	931-26062014_Mouse 1186367.fcs	GFP+	85.3	1.58	0.45	6.4	0.4	986
7	mock2	931-26062014_Mouse 1189248.fcs	GFP+	84.3	4.46	0.98	0.26	0.23	5258
7	3	931-26062014_Mouse 1189249.fcs	GFP+	70.3	4.85	1.5	12.5	0.6	1466
7	4	931-26062014_Mouse 1189250.fcs	GFP+	74.8	2.31	0.89	6.77	3.6	11596
7	5	931-26062014_Mouse 1199334.fcs	GFP+	78.9	4.63	1.12	5.15	1.64	9950
7	mock3	931-26062014_Mouse 1199335.fcs	GFP+	80.6	3.39	1.39	3.21	1.43	8876
8	mock1	931-27072014_Mouse 1177160.fcs	GFP+	85.8	10.5	1.54	0.31	0.31	7460
8	1	931-27072014_Mouse 1186366.fcs	GFP+	80.1	2.88	1.36	10	0.76	4747
8	2	931-27072014_Mouse 1186367.fcs	GFP+	63.1	1.34	1.45	15.2	9.76	1314
8	mock2	931-27072014_Mouse 1189248.fcs	GFP+	61.3	16.6	1.42	0.66	9.5	618
8	3	931-27072014_Mouse 1189249.fcs	GFP+	80.3	4.82	1.38	8.53	1.43	20990
8	4	931-27072014_Mouse 1189250.fcs	GFP+	74.1	4.68	2.4	11.1	0.68	8451
8	5	931-27072014_Mouse 1199334.fcs	GFP+	68	4.22	2.02	7.34	10.5	10092
8	mock3	931-27072014_Mouse 1199335.fcs	GFP+	69.9	8.1	1.69	5.31	4.11	4735
9	mock1	931-27082014_Mouse 1177160.fcs	GFP+	34.4	9.28	0.93	0.99	29	3761
9	1	931-27082014_Mouse 1186366.fcs	GFP+	41.8	8.25	2.56	5.77	18.2	7700
9	2	931-27082014_Mouse 1186367.fcs	GFP+	27.9	7.04	2.57	7	26.1	39329
9	mock2	931-27082014_Mouse 1189248.fcs	GFP+	32.5	10.3	0.32	0.76	31.9	11477
9	3	931-27082014_Mouse 1189249.fcs	GFP+	23.1	8.74	4.4	9.24	22.6	5141
9	4	931-27082014_Mouse 1189250.fcs	GFP+	25.4	9.13	1.25	3.24	29	1470
9	5	931-27082014_Mouse 1199334.fcs	GFP+	37.9	7.19	7.08	11.3	12.3	4005
9	mock3	931-27082014_Mouse 1199335.fcs	GFP+	26.1	11.2	1.48	2.62	29.6	3848
10	1	64: 931-24092014_TUBE_001 Mouse 1186366.fcs	GFP+	80.5	1.19	0.34	4.64	0.21	25555
10	2	65: 931-24092014_TUBE_002 Mouse 1186367.fcs	GFP+	68.3	0.74	0.93	11.7	4.13	47343
10	3	66: 931-24092014_TUBE_003 Mouse 1189249.fcs	GFP+	62.5	1.76	2.54	14.2	2.32	38161
10	4	67: 931-24092014_TUBE_004 Mouse 1189250.fcs	GFP+	72	1.27	0.91	8.58	3.03	55134
10	mock2	68: 931-24092014_TUBE_005 Mouse 1189248.fcs	GFP+	74.3	3.2	9.23	0.85	0.29	3748
10	mock1	69: 931-24092014_TUBE_006 Mouse 1177160.fcs	GFP+	71.5	3.94	11.1	2.45	0.2	2487
10	5	70: 931-24092014_TUBE_007 Mouse 1199334.fcs	GFP+	64.4	3.55	3.28	11.6	0.99	13665
10	mock3	71: 931-24092014_TUBE_008 Mouse 1199335.fcs	GFP+	53.8	1.97	1.97	7.21	3.93	305
11	mock1	48: 931-22102014_Mouse 1177160.fcs	GFP+	73.3	8.05	0.73	1.3	4.26	1925
11	1	49: 931-22102014_Mouse 1186366.fcs	GFP+	46.7	9.85	0.31	23.8	2.38	23037
11	2	50: 931-22102014_Mouse 1186367.fcs	GFP+	56.6	2.88	0.23	16.7	6.47	31552
11	mock2	51: 931-22102014_Mouse 1189248.fcs	GFP+	57.7	22.5	1.06	3.29	2.26	2830
11	3	52: 931-22102014_Mouse 1189249.fcs	GFP+	49.9	2.73	0.67	19.2	7.17	30453
