sample code	# GFP pos cells	# GFP pos cells	%GFP
2_12_BL_L_a	7289	7289	5.7
2_12_BL_L_b	7289	7289	5.7
2_12_BL_M_a	233	233	3.2
2_12_BL_M_b	233	233	3.2
1_12_BL_L_a	8118	8118	5.4
1_12_BL_L_b	8118	8118	5.4
1_12_BL_M_a	185	185	1.8
1_12_BL_M_b	185	185	1.8
3_12_BL_L_a	8887	8887	7.5
3_12_BL_L_b	8887	8887	7.5
3_12_BL_M_a	385	385	3.3
3_12_BL_M_b	385	385	3.3
4_12_BL_L_a	7750	7750	6.6
4_12_BL_L_b	7750	7750	6.6
4_12_BL_M_a	165	165	2.2
4_12_BL_M_b	165	165	2.2
2_13_BL_L_a	3650	3650	5.7
2_13_BL_L_b	3650	3650	5.7
2_13_BL_M_a	120	120	2.2
2_13_BL_M_b	120	120	2.2
1_13_BL_L_a	257	257	4.3
1_13_BL_L_b	257	257	4.3
1_13_BL_M_a	38	38	2.2
1_13_BL_M_b	38	38	2.2
3_13_BL_L_a	3994	3994	8.3
3_13_BL_L_b	3994	3994	8.3
3_13_BL_M_a	211	211	2.4
3_13_BL_M_b	211	211	2.4
4_13_BL_L_a	7496	7496	6.7
4_13_BL_L_b	7496	7496	6.7
4_13_BL_M_a	322	322	2.1
4_13_BL_M_b	322	322	2.1
2_14_BL_L_a	21963	21963	6.2
2_14_BL_L_b	21963	21963	6.2
2_14_BL_M_a	216	216	1.8
2_14_BL_M_b	216	216	1.8
1_14_BL_L_a	6929	6929	5.7
1_14_BL_L_b	6929	6929	5.7
1_14_BL_M_a	144	144	1.5
1_14_BL_M_b	144	144	1.5
3_14_BL_L_a	6909	6909	9.0
3_14_BL_L_b	6909	6909	9.0
3_14_BL_M_a	164	164	2.4
3_14_BL_M_b	164	164	2.4
4_14_BL_L_a	13711	13711	7.2
4_14_BL_L_b	13711	13711	7.2
4_14_BL_M_a	225	225	2.0
4_14_BL_M_b	225	225	2.0
2_15_BL_L_a	110160	110160	6.4
2_15_BL_L_b	110160	110160	6.4
2_15_BL_M_a	2108	2108	2.8
2_15_BL_M_b	2108	2108	2.8
1_15_BL_L_a	63934	63934	5.5
1_15_BL_L_b	63934	63934	5.5
1_15_BL_M_a	1138	1138	1.8
1_15_BL_M_b	1138	1138	1.8
3_15_BL_L_a	65346	65246	9.3
3_15_BL_L_b	65346	65246	9.3
3_15_BL_M_a	3118	3118	4.3
3_15_BL_M_b	3118	3118	4.3
4_15_BL_L_a	63883	63883	7.7
4_15_BL_L_b	63883	63883	7.7
