threshold	class	mouse	LSK	MP	M	Pgen	purentLSK	purcentMP	purcentM
0	HSPC	1	13.4361122936155	0	0	5.96047e-05	100	0	0
0	HSPC	1	9.02001119995507	0	0	4.31367e-05	100	0	0
0	HSPC	3	6.74697245413757	0	0	6.99235e-06	100	0	0
0	HSPC	4	3.91638003767647	0	0	4.60453e-05	100	0	0
0	HSPC	4	4.73550561082384	0	0	3.44879e-06	100	0	0
0	HSPC	4	11.035213141982	0	0	4.37423e-05	100	0	0
0	HSPC	4	6.30536551212528	0	0	1.39629e-05	100	0	0
0	HSPC	4	4.46514527639409	0	0	4.86835e-06	100	0	0
0	HSPC	4	3.04499500183791	0	0	3.17268e-05	100	0	0
0	HSPC	4	2.89459718168607	0	0	2.74518e-05	100	0	0
0	HSPC	4	4.56612633248838	0	0	4.84826e-06	100	0	0
0	HSPC	4	3.60296599130879	0	0	5.34352e-05	100	0	0
0	MP	1	0	2.83287947067549	0	5.45072e-05	0	100	0
0	MP	1	0	1.38944223982299	0	8.13764e-05	0	100	0
0	MP	1	0	2.29722125242425	0	9.59823e-05	0	100	0
0	MP	1	0	2.10608329811025	0	8.53697e-07	0	100	0
0	MP	3	0	3.30243573973478	0	9.02467e-05	0	100	0
0	MP	3	0	8.27322897808606	0	1.62905e-05	0	100	0
0	MP	3	0	5.86345733684528	0	5.18006e-05	0	100	0
0	MP	4	0	7.9296169138131	0	8.36031e-05	0	100	0
0	MP	4	0	4.08523372206315	0	7.60036e-05	0	100	0
0	MP	4	0	2.23082125659057	0	5.84224e-05	0	100	0
0	MP	4	0	6.74277820470871	0	6.94305e-05	0	100	0
0	M	1	0	0	5.68983049481053	4.03323e-05	0	0	100
0	M	1	0	0	1.48038380077079	9.63401e-05	0	0	100
0	M	1	0	0	2.06108613206317	2.92706e-05	0	0	100
0	M	1	0	0	4.04807204896985	6.62277e-05	0	0	100
0	M	1	0	0	2.51481613274187	5.41669e-05	0	0	100
0	M	1	0	0	5.56854299267332	3.48377e-06	0	0	100
0	M	3	0	0	5.56165681475754	2.27428e-05	0	0	100
0	M	3	0	0	2.80727058814692	6.77715e-06	0	0	100
0	M	3	0	0	3.0404076423014	5.38498e-06	0	0	100
0	M	3	0	0	3.70621394187779	9.0411e-05	0	0	100
0	M	3	0	0	5.54086496406908	9.20443e-06	0	0	100
0	M	4	0	0	3.96052946075086	2.92706e-05	0	0	100
0	HSPC-MP-M	1	23.5363594389757	10.7606847577624	16.5135161874256	1.25962e-07	46.3217867723249	21.178047784563	32.5001654431122
0	HSPC-MP-M	1	54.0075170674537	6.76789737990964	11.4565881799508	1.48703e-05	74.7695136546457	9.36966598424394	15.8608203611104
