"richness"	"Shannon"	"Simpson"	"hill 3"	"hill 4"	"hill 5"	"hill 6"	"mouse"	"month"	"organ"	"type"	"replicate"
"44"	"34.4747772910752"	"26.1689362453028"	"20.6187853995437"	"17.3187798428874"	"15.3230226916508"	"14.0430131761434"	"X1"	"10"	"BL"	"L"	"b"
"19"	"16.3289403588766"	"14.1186531210455"	"12.2415770777612"	"10.7904732534561"	"9.76313352257965"	"9.05777627146852"	"X1"	"10"	"BL"	"M"	"a"
"17"	"16.2876283987741"	"15.7042907960985"	"15.2353002193967"	"14.85957330157"	"14.5568218551592"	"14.3102985572467"	"X1"	"10"	"BL"	"M"	"b"
"43"	"32.8387881610983"	"24.4547920964985"	"19.3828151743908"	"16.5645065773465"	"14.8893187180943"	"13.7991317942015"	"X1"	"11"	"BL"	"L"	"a"
"47"	"37.6950199084807"	"28.6866669779091"	"22.7174745135388"	"19.3847295155855"	"17.4633364492603"	"16.2503428880533"	"X1"	"11"	"BL"	"L"	"b"
"35"	"27.4997928143795"	"21.3944243824591"	"17.3053084014286"	"14.8286500132299"	"13.3221930561812"	"12.3567957770273"	"X1"	"11"	"BL"	"M"	"a"
"26"	"22.6669361615399"	"20.537682316085"	"19.1885443034199"	"18.2953138388173"	"17.6668313593381"	"17.1975642645921"	"X1"	"11"	"BL"	"M"	"b"
"109"	"92.9340900859059"	"75.2541610008301"	"60.6274271417659"	"50.9517142935343"	"44.9422446796983"	"41.083632931897"	"X1"	"4"	"BL"	"L"	"a"
"136"	"122.572950636127"	"106.388619291244"	"89.9007800882064"	"76.1229693696648"	"66.0285379153974"	"58.9408388881517"	"X1"	"4"	"BL"	"L"	"b"
"26"	"23.0801053008268"	"21.0043688387679"	"19.2675696035468"	"17.8281955067812"	"16.690851757058"	"15.8191463152685"	"X1"	"4"	"BL"	"M"	"a"
"30"	"25.0022254665472"	"19.9992714004217"	"15.9412253182006"	"13.2898444240006"	"11.6885185507112"	"10.6966984235213"	"X1"	"4"	"BL"	"M"	"b"
"75"	"66.0894876694745"	"56.318800248474"	"47.6054046025952"	"41.1274513730135"	"36.6789547011976"	"33.6153653404063"	"X1"	"5"	"BL"	"L"	"a"
"68"	"61.3569688678319"	"54.3913425511995"	"48.2565162213289"	"43.5688710534557"	"40.2171341703722"	"37.8322488008726"	"X1"	"5"	"BL"	"L"	"b"
"23"	"19.5747883832813"	"17.7912001119207"	"16.7466405826033"	"16.055178795044"	"15.5577458882641"	"15.1802303322588"	"X1"	"6"	"BL"	"L"	"a"
"25"	"20.9103406914019"	"18.9167888967188"	"17.7138342100371"	"16.8982648272257"	"16.3083300908798"	"15.8632762923248"	"X1"	"6"	"BL"	"L"	"b"
"7"	"6.3132683728574"	"6.03305178101934"	"5.8743442119548"	"5.76179704242827"	"5.67361883404525"	"5.60164130867655"	"X1"	"6"	"BL"	"M"	"a"
"5"	"3.76253458510621"	"3.31868909547488"	"3.11880149068222"	"3.00542158528188"	"2.93118746487495"	"2.87814333272323"	"X1"	"6"	"BL"	"M"	"b"
"122"	"107.652059015773"	"91.204606215654"	"76.2783974446658"	"65.3704087676143"	"58.1279698852867"	"53.310532168204"	"X1"	"7"	"BL"	"L"	"a"
"133"	"115.923875399002"	"91.5469189829833"	"67.3828444971064"	"51.7629146612701"	"43.0657279144119"	"37.9759587242907"	"X1"	"7"	"BL"	"L"	"b"
"6"	"5.73772135789588"	"5.46781377600988"	"5.20753798043813"	"4.97290616088018"	"4.77295477131528"	"4.6088852215135"	"X1"	"7"	"BL"	"M"	"a"
"5"	"4.41153814930429"	"3.95628304388222"	"3.63604984000908"	"3.41718807406779"	"3.26567719181486"	"3.15772007134121"	"X1"	"7"	"BL"	"M"	"b"
"62"	"53.7610668469376"	"43.7125860864999"	"34.3904507548894"	"27.9391023543749"	"23.9947872210684"	"21.5482079528274"	"X1"	"8"	"BL"	"L"	"a"
"64"	"55.0548651377402"	"46.2771038299047"	"39.3190370441581"	"34.5194278394841"	"31.3192684569388"	"29.1313123460396"	"X1"	"8"	"BL"	"L"	"b"
"20"	"16.8278170915005"	"14.8921711843479"	"13.486753801018"	"12.4396305188452"	"11.6549532408779"	"11.0601955954946"	"X1"	"8"	"BL"	"M"	"a"
"12"	"9.86006325369392"	"8.16360308420849"	"6.94083767885043"	"6.14259749583997"	"5.63509505365097"	"5.30414793828641"	"X1"	"8"	"BL"	"M"	"b"
"101"	"83.3616422572411"	"59.9163642906075"	"40.2949823165547"	"29.8221599402709"	"24.623175910385"	"21.7583370612361"	"X1"	"9"	"BL"	"L"	"a"
"97"	"75.1129007719778"	"49.3745989956306"	"32.7756737214533"	"25.018433875564"	"21.1520744842054"	"18.9413647646519"	"X1"	"9"	"BL"	"L"	"b"
"16"	"14.170950881901"	"12.724017925463"	"11.6456327918364"	"10.8590336110635"	"10.2808569967043"	"9.84635890119767"	"X1"	"9"	"BL"	"M"	"a"
"16"	"12.0817011565361"	"9.35905222765955"	"7.60204174322678"	"6.58482061442605"	"5.98946026330276"	"5.61805089492719"	"X1"	"9"	"BL"	"M"	"b"
"65"	"54.868539856981"	"45.03196893604"	"37.4933683937226"	"32.4672473325706"	"29.1807142978839"	"26.9504694647046"	"X2"	"10"	"BL"	"L"	"a"
"78"	"68.4962144619604"	"58.6750227430692"	"50.2404916390109"	"43.95940740306"	"39.5419604046693"	"36.4245275647117"	"X2"	"10"	"BL"	"L"	"b"
"7"	"6.80917657881246"	"6.63442336930917"	"6.47616528702044"	"6.33410636309317"	"6.2074874435346"	"6.09525215065778"	"X2"	"10"	"BL"	"M"	"a"
"7"	"6.55818701920167"	"6.177668452964"	"5.87377254640268"	"5.6410798258799"	"5.46511930953981"	"5.33116408195762"	"X2"	"10"	"BL"	"M"	"b"
"115"	"95.6512215337058"	"75.1658853015512"	"58.4354666967145"	"47.6029620125432"	"41.0739577049335"	"36.9972622999871"	"X2"	"11"	"BL"	"L"	"a"
"121"	"100.159526048265"	"77.2547432662706"	"59.5779713765006"	"49.0065106485818"	"42.92154097008"	"39.1891599635883"	"X2"	"11"	"BL"	"L"	"b"
"23"	"15.3628797890132"	"10.0500761225981"	"7.61823559670127"	"6.52047770552543"	"5.94030194245325"	"5.58802434184079"	"X2"	"11"	"BL"	"M"	"a"
"16"	"10.8501263667615"	"7.00358547241475"	"5.21043380072507"	"4.44226658417807"	"4.06141997872788"	"3.84234970563418"	"X2"	"11"	"BL"	"M"	"b"
"111"	"97.9904400186694"	"80.7094416811496"	"63.6604549767098"	"51.4406975688493"	"43.8051846055837"	"38.9771537901612"	"X2"	"4"	"BL"	"L"	"a"
"138"	"129.174761858869"	"119.462262375222"	"109.759453472758"	"101.056374188138"	"93.8939203737824"	"88.2761222589365"	"X2"	"4"	"BL"	"L"	"b"
"66"	"57.1116898240359"	"46.2993699311882"	"36.6782419503864"	"30.2212422649083"	"26.2708218026772"	"23.7746786113224"	"X2"	"5"	"BL"	"L"	"a"
"47"	"42.6270789796786"	"38.3108643146877"	"34.6166427648918"	"31.7647903978973"	"29.657457216239"	"28.1004151189202"	"X2"	"5"	"BL"	"L"	"b"
"43"	"39.5633631944136"	"36.5685565674635"	"34.1374925238341"	"32.2319716394594"	"30.746448840985"	"29.5756916897944"	"X2"	"6"	"BL"	"L"	"a"
"50"	"45.3990630654712"	"40.2031535649646"	"35.0766458242372"	"30.8019252512506"	"27.646774648845"	"25.4236666527569"	"X2"	"6"	"BL"	"L"	"b"
"31"	"26.6297986138215"	"22.8218614243716"	"19.9699180134859"	"17.9860520258434"	"16.6138226368857"	"15.6395303989424"	"X2"	"6"	"BL"	"M"	"a"
"43"	"38.2842742423262"	"34.3823690291739"	"31.300365749421"	"28.9158403035984"	"27.0798974203666"	"25.6606313797335"	"X2"	"6"	"BL"	"M"	"b"
"41"	"36.5579588034321"	"32.6620462424151"	"29.5197726633196"	"27.0720923235366"	"25.1658623113873"	"23.6640737443527"	"X2"	"7"	"BL"	"L"	"a"
"55"	"46.8446873691847"	"37.8103405707605"	"30.4535689597279"	"25.740316628559"	"22.9016686301378"	"21.1210896842274"	"X2"	"7"	"BL"	"L"	"b"
"15"	"13.8382536358765"	"12.888865038722"	"12.1202798638923"	"11.5083501057329"	"11.0272874968822"	"10.6503724172964"	"X2"	"7"	"BL"	"M"	"a"
"7"	"6.44966115986372"	"5.95299961741001"	"5.55587478909873"	"5.26196600964461"	"5.05082200910484"	"4.89864979114823"	"X2"	"7"	"BL"	"M"	"b"
"137"	"124.96666872892"	"112.944000318625"	"101.691160635092"	"91.7491726380696"	"83.3661814470384"	"76.5414549956364"	"X2"	"8"	"BL"	"L"	"a"
"129"	"114.632820029699"	"98.5186829798147"	"82.8084072679955"	"70.0336177635168"	"60.8854933040193"	"54.5882472888197"	"X2"	"8"	"BL"	"L"	"b"
"5"	"4.9245706906641"	"4.85686692062998"	"4.79681396069816"	"4.7439497162826"	"4.69759838708828"	"4.6570059839798"	"X2"	"8"	"BL"	"M"	"a"
"8"	"7.16132794286054"	"6.61055278335187"	"6.26035000987751"	"6.03313829160503"	"5.87933908287212"	"5.77024586035615"	"X2"	"8"	"BL"	"M"	"b"
"136"	"118.581577427258"	"96.9835958510932"	"74.4785540408649"	"57.5444744161023"	"47.2311869616847"	"41.0905108861514"	"X2"	"9"	"BL"	"L"	"a"
"148"	"131.660104707604"	"110.81523318926"	"87.5517602154712"	"68.4746710077407"	"56.2039954789199"	"48.7393764745081"	"X2"	"9"	"BL"	"L"	"b"
"6"	"5.58266854801071"	"5.23906463734168"	"4.97551842900522"	"4.77868964552032"	"4.63071340675048"	"4.51679648556863"	"X2"	"9"	"BL"	"M"	"a"
"1"	"1"	"1"	"1"	"1"	"1"	"1"	"X2"	"9"	"BL"	"M"	"b"
"62"	"46.6442426411276"	"33.0591258427191"	"25.4676676193574"	"21.7773353304184"	"19.821880541743"	"18.6547565003965"	"X3"	"10"	"BL"	"L"	"a"
"59"	"44.1468265857568"	"32.6131299894801"	"25.9273928089603"	"22.1463330230393"	"19.799635268178"	"18.2196115788033"	"X3"	"10"	"BL"	"L"	"b"
"12"	"9.48973676721384"	"7.85271277906023"	"6.90389928478088"	"6.34934962504911"	"6.00434473644138"	"5.77452436273254"	"X3"	"10"	"BL"	"M"	"a"
"12"	"11.0959559720368"	"10.3460982254535"	"9.7428040883652"	"9.2583045609654"	"8.86513122919333"	"8.54259910256682"	"X3"	"10"	"BL"	"M"	"b"
"59"	"50.987173932333"	"44.0416176768582"	"39.0220714359995"	"35.6805257343723"	"33.4458495550682"	"31.8862698388614"	"X3"	"11"	"BL"	"L"	"a"
"67"	"56.7947829755831"	"47.1818626496607"	"40.0576167833099"	"35.4532371703894"	"32.523899241783"	"30.5778912313538"	"X3"	"11"	"BL"	"L"	"b"
"33"	"26.0137678393361"	"19.8761008656077"	"15.4466489858488"	"12.7563776818969"	"11.1897925871178"	"10.2365220760197"	"X3"	"11"	"BL"	"M"	"a"
"25"	"19.4755627953166"	"16.5099623730223"	"14.8088313846707"	"13.7167231388477"	"12.9551152469153"	"12.3937578201467"	"X3"	"11"	"BL"	"M"	"b"
"125"	"97.1528382254852"	"60.4602797221878"	"36.9483371805581"	"27.1013411352488"	"22.5759609487012"	"20.0980078410387"	"X3"	"4"	"BL"	"L"	"a"
"118"	"89.2789929759954"	"51.4486665886865"	"29.6186277343849"	"21.4127757469295"	"17.825926754156"	"15.9118772946237"	"X3"	"4"	"BL"	"L"	"b"
"21"	"17.3798543286269"	"15.1177423079932"	"13.5150407567252"	"12.3646050531235"	"11.5378787974063"	"10.9367275598951"	"X3"	"4"	"BL"	"M"	"a"
"20"	"16.619799796905"	"14.9473572590776"	"13.923266623698"	"13.2146560409401"	"12.6845462163493"	"12.2686670436524"	"X3"	"4"	"BL"	"M"	"b"
"92"	"80.820915697226"	"67.7637516483911"	"55.7086959674518"	"46.8841612151233"	"41.0734053182586"	"37.2423765768209"	"X3"	"5"	"BL"	"L"	"a"
"65"	"56.5652612635404"	"47.6072203724823"	"39.9227302923819"	"34.3468425821756"	"30.5453072916781"	"27.9303960722677"	"X3"	"5"	"BL"	"L"	"b"
"31"	"27.6141921045949"	"24.8627125798288"	"22.6878969019865"	"20.9759773860861"	"19.6157046203993"	"18.5245470723942"	"X3"	"5"	"BL"	"M"	"a"
"19"	"18.1998874978237"	"17.4396894179185"	"16.7349837556793"	"16.0962049650023"	"15.5277899799668"	"15.0289583152438"	"X3"	"5"	"BL"	"M"	"b"
"126"	"105.501929466505"	"83.9849753543752"	"65.4759047729566"	"52.8479544967482"	"45.0915689729696"	"40.2599250725033"	"X3"	"6"	"BL"	"L"	"a"
"132"	"118.044641812111"	"104.663355155735"	"92.9874916852517"	"83.6173023368076"	"76.4595358238228"	"71.0600029364223"	"X3"	"6"	"BL"	"L"	"b"
"11"	"8.67434634275013"	"7.61815871243246"	"7.07238141700531"	"6.73729874472461"	"6.50172233997832"	"6.32041410654751"	"X3"	"6"	"BL"	"M"	"a"
"8"	"7.71484336067149"	"7.50820992775659"	"7.36061055471634"	"7.25411101596448"	"7.17534256309214"	"7.11521365845925"	"X3"	"6"	"BL"	"M"	"b"
"93"	"72.1579072977214"	"49.9619149972648"	"35.587264344441"	"28.2449393248322"	"24.302268565962"	"21.9377770593445"	"X3"	"7"	"BL"	"L"	"a"
"89"	"65.3970165157876"	"42.3836778898422"	"29.5369869322139"	"23.6308039894512"	"20.6147095369689"	"18.8487675501464"	"X3"	"7"	"BL"	"L"	"b"
"7"	"5.02263276150797"	"4.22933784028048"	"3.8404215817828"	"3.63227302931868"	"3.51041671592236"	"3.43274309361316"	"X3"	"7"	"BL"	"M"	"a"
"10"	"9.38485514649611"	"8.72397277083416"	"8.06516678257179"	"7.47478271244654"	"6.9936167911165"	"6.62344103698905"	"X3"	"7"	"BL"	"M"	"b"
"65"	"48.0235660898617"	"31.911324354795"	"22.8639607527162"	"18.6253368759099"	"16.439732419096"	"15.1557674535535"	"X3"	"8"	"BL"	"L"	"a"
"67"	"55.6080487505779"	"44.5682776499961"	"36.4322320481591"	"31.2012835343249"	"27.8349929832679"	"25.5604469588364"	"X3"	"8"	"BL"	"L"	"b"
"6"	"5.86624108074024"	"5.741259860694"	"5.6270388348364"	"5.52460930487471"	"5.43411287890211"	"5.35500890913867"	"X3"	"8"	"BL"	"M"	"a"
"4"	"3.18527285827365"	"2.74178777433063"	"2.51212783250601"	"2.38127504135423"	"2.29819734075007"	"2.24110379141521"	"X3"	"8"	"BL"	"M"	"b"
"133"	"108.973601285937"	"81.2945455813693"	"60.4571985989567"	"48.6269979035299"	"42.0375517693363"	"38.0542776028973"	"X3"	"9"	"BL"	"L"	"a"
"121"	"99.7382322957314"	"74.3583551998921"	"54.185548115774"	"42.4391728659428"	"35.879103665283"	"31.9267759557125"	"X3"	"9"	"BL"	"L"	"b"
"30"	"25.1760368685652"	"20.6163633529276"	"16.8940283690676"	"14.3115109634124"	"12.6568639221542"	"11.5928737286891"	"X3"	"9"	"BL"	"M"	"a"
"17"	"11.5393723696005"	"7.37997731526248"	"5.49427864844557"	"4.68712500375547"	"4.2819267206114"	"4.04617194156734"	"X3"	"9"	"BL"	"M"	"b"
"47"	"40.0047055469381"	"34.3582774998871"	"30.4411113513048"	"27.8411443273328"	"26.0677247149374"	"24.7971448132293"	"X4"	"10"	"BL"	"L"	"a"
"42"	"35.8861386203452"	"30.7311917032735"	"26.9832392851732"	"24.434809962499"	"22.6982171815981"	"21.4742668679398"	"X4"	"10"	"BL"	"L"	"b"
"17"	"15.4767921971925"	"14.4526138756357"	"13.7345444248912"	"13.2095367084123"	"12.8132261609466"	"12.5065506629868"	"X4"	"10"	"BL"	"M"	"a"
"15"	"14.1470855533124"	"13.4190181757957"	"12.817007738243"	"12.3277642745246"	"11.9319994086"	"11.6105245709108"	"X4"	"10"	"BL"	"M"	"b"
"53"	"44.5502333388432"	"37.556656356531"	"32.7503610262698"	"29.6621315558709"	"27.6356195218216"	"26.2353888179811"	"X4"	"11"	"BL"	"L"	"a"
"54"	"45.9586786564898"	"37.9701616710874"	"31.6037115901596"	"27.3129510024483"	"24.5576529663858"	"22.7404360954744"	"X4"	"11"	"BL"	"L"	"b"
"38"	"27.8093093611528"	"18.5044327814435"	"13.0131441798795"	"10.4195373000149"	"9.11374471617462"	"8.3679167323723"	"X4"	"11"	"BL"	"M"	"a"
"36"	"32.1632943346344"	"29.023905401023"	"26.469707445047"	"24.430070692468"	"22.8380298752177"	"21.6127056968851"	"X4"	"11"	"BL"	"M"	"b"
"93"	"83.1728669746338"	"71.6421170782039"	"61.0015420355747"	"53.1029928959254"	"47.7890156976618"	"44.2142393255236"	"X4"	"4"	"BL"	"L"	"a"
"95"	"83.0497186285681"	"68.0634846189478"	"54.5278375424225"	"45.4161416686535"	"39.8573327296366"	"36.3537935652088"	"X4"	"4"	"BL"	"L"	"b"
"47"	"41.0398935273514"	"35.9355124951173"	"31.7955395552046"	"28.7178090728272"	"26.5245704151217"	"24.954748266447"	"X4"	"4"	"BL"	"M"	"a"
"40"	"33.6409182033852"	"28.9945841807881"	"25.8382823290968"	"23.6780985075366"	"22.1298673588516"	"20.9645851348561"	"X4"	"4"	"BL"	"M"	"b"
"71"	"60.5917560847204"	"48.2461803299105"	"37.5802956669357"	"30.6178982001637"	"26.4509026823325"	"23.8660632848704"	"X4"	"5"	"BL"	"L"	"a"
"63"	"50.51462620718"	"36.8018716515141"	"27.2871244507681"	"22.2312275191487"	"19.5039614329347"	"17.8705914678416"	"X4"	"5"	"BL"	"L"	"b"
"9"	"8.27671802782154"	"7.75866739292989"	"7.38419881108453"	"7.10357275036582"	"6.88430303961801"	"6.70669003480167"	"X4"	"5"	"BL"	"M"	"a"
"15"	"12.9702131196109"	"12.0392215393658"	"11.4979530349727"	"11.1287113625538"	"10.8514678342856"	"10.6307502666279"	"X4"	"5"	"BL"	"M"	"b"
"32"	"27.1779933651464"	"23.0781066122661"	"20.0784308457348"	"18.0022771929634"	"16.5481295694002"	"15.4955510594554"	"X4"	"6"	"BL"	"L"	"a"
"32"	"26.0745915123914"	"20.5725211742227"	"16.7466266760519"	"14.4637534172804"	"13.1039561605887"	"12.245441773602"	"X4"	"6"	"BL"	"L"	"b"
"17"	"14.830751811643"	"13.8248131627321"	"13.2186865293563"	"12.8149601411138"	"12.5242633661135"	"12.3002501026686"	"X4"	"6"	"BL"	"M"	"a"
"13"	"11.3404862745707"	"10.4850963282627"	"9.95479429308134"	"9.60389507970172"	"9.36065704198895"	"9.18361600956637"	"X4"	"6"	"BL"	"M"	"b"
"136"	"121.331451043035"	"106.216994581568"	"92.0500407980611"	"80.0823540459685"	"70.7487651412107"	"63.7644739075906"	"X4"	"7"	"BL"	"L"	"a"
"123"	"104.408769497277"	"85.4187018887463"	"68.9865440841332"	"57.1273251243487"	"49.3572320479424"	"44.297046930578"	"X4"	"7"	"BL"	"L"	"b"
"4"	"3.82561351935625"	"3.65307188982135"	"3.49431392602216"	"3.35737850701217"	"3.24468290540454"	"3.15442623618077"	"X4"	"7"	"BL"	"M"	"a"
"1"	"1"	"1"	"1"	"1"	"1"	"1"	"X4"	"7"	"BL"	"M"	"b"
"131"	"110.124485382659"	"87.8314544962119"	"68.2811294904751"	"54.4151539223809"	"45.6437567021135"	"40.1394709459695"	"X4"	"8"	"BL"	"L"	"a"
"128"	"104.70772951978"	"76.434819948743"	"53.0015682063862"	"39.9691507446074"	"33.251038829808"	"29.4485669405073"	"X4"	"8"	"BL"	"L"	"b"
"3"	"2.8616111332808"	"2.72929378680518"	"2.61312954277546"	"2.51775138962393"	"2.44265036005929"	"2.38463134268174"	"X4"	"8"	"BL"	"M"	"a"
"1"	"1"	"1"	"1"	"1"	"1"	"1"	"X4"	"8"	"BL"	"M"	"b"
"80"	"62.8816154624385"	"45.8062045572722"	"34.4628966848636"	"28.3306726869031"	"24.9342934332874"	"22.8744607567507"	"X4"	"9"	"BL"	"L"	"a"
"76"	"60.8540430925693"	"45.7242060989715"	"35.2231604662493"	"29.2444342782942"	"25.8149070194292"	"23.686091386736"	"X4"	"9"	"BL"	"L"	"b"
"33"	"28.9728510647301"	"26.5034154030874"	"24.8695754075587"	"23.7208006677891"	"22.865385739759"	"22.1971865847788"	"X4"	"9"	"BL"	"M"	"a"
"18"	"14.5553690947387"	"12.2122433770012"	"10.6116175562089"	"9.53269373582984"	"8.7986983952027"	"8.28561967154475"	"X4"	"9"	"BL"	"M"	"b"
"49"	"38.6422076987173"	"29.8889880671162"	"24.1533345206983"	"20.747641356508"	"18.6779633395274"	"17.3436395708339"	"X1"	"12"	"BL"	"L"	"a"
"40"	"29.7611361079929"	"22.3302226705667"	"17.9395080574522"	"15.3701864105935"	"13.7696272283295"	"12.7097302293366"	"X1"	"12"	"BL"	"L"	"b"
"19"	"17.3615856457442"	"16.1060645652541"	"15.1842366545512"	"14.5061168887747"	"13.9951946697195"	"13.5988062996259"	"X1"	"12"	"BL"	"M"	"a"
"17"	"14.9369278743322"	"13.1669427757682"	"11.6049453886786"	"10.3415742962841"	"9.41222788499559"	"8.75782538829539"	"X1"	"12"	"BL"	"M"	"b"
"18"	"16.2670677554707"	"15.2564865617517"	"14.5395967354774"	"14.0031780958641"	"13.5922461583049"	"13.2703869234168"	"X1"	"13"	"BL"	"L"	"a"
"14"	"11.3138352623857"	"9.56340477506797"	"8.50217082600798"	"7.84807332813164"	"7.42345149447145"	"7.13236289604466"	"X1"	"13"	"BL"	"L"	"b"
"4"	"2.90327176396072"	"2.69814339742372"	"2.56411954705723"	"2.46360415249809"	"2.38832205827005"	"2.33184030486601"	"X1"	"13"	"BL"	"M"	"a"
"1"	"1"	"1"	"1"	"1"	"1"	"1"	"X1"	"13"	"BL"	"M"	"b"
"35"	"30.0466307124364"	"26.3516253532875"	"23.8177018547938"	"22.079934413615"	"20.8365229055296"	"19.9026699021359"	"X1"	"14"	"BL"	"L"	"a"
"44"	"35.6340403473192"	"28.3409127399031"	"23.2380809455929"	"20.0249781116471"	"18.0005382528649"	"16.6682011946046"	"X1"	"14"	"BL"	"L"	"b"
"9"	"7.63168945882438"	"6.62597013266297"	"5.92438144232127"	"5.44569496635902"	"5.11661771453549"	"4.88467187189606"	"X1"	"14"	"BL"	"M"	"a"
"8"	"7.33399610799799"	"6.77837803238451"	"6.34976390869246"	"6.02880432646165"	"5.78721527221213"	"5.60151881228876"	"X1"	"14"	"BL"	"M"	"b"
"34"	"28.4388638212532"	"23.0302540619986"	"18.7189586598156"	"15.8175193120767"	"13.982636083706"	"12.8021666300824"	"X1"	"15"	"BL"	"L"	"a"
"31"	"26.6042456658342"	"23.41538714543"	"21.2491977364467"	"19.7651485297076"	"18.7062045153947"	"17.9157216574688"	"X1"	"15"	"BL"	"L"	"b"
"16"	"9.20267755103746"	"6.54667392274599"	"5.3858780317619"	"4.79871073281689"	"4.46015483745311"	"4.24420309529719"	"X1"	"15"	"BL"	"M"	"a"
"24"	"17.3030494778872"	"14.1799683047437"	"12.5493861311288"	"11.6078843476922"	"11.0193415656423"	"10.625240405693"	"X1"	"15"	"BL"	"M"	"b"
"72"	"47.8716541092938"	"32.9079817922526"	"25.0694394511032"	"20.7243380747753"	"18.112582954072"	"16.4446151696299"	"X1"	"15"	"BM"	"DC"	"a"
"79"	"56.7831974624358"	"42.6364402035904"	"35.1777171445602"	"31.1015230480425"	"28.625445424317"	"26.9775328439607"	"X1"	"15"	"BM"	"DC"	"b"
"33"	"26.7512551754224"	"21.9723612409508"	"18.750148067093"	"16.6178381171565"	"15.1618251676471"	"14.130228056327"	"X1"	"15"	"BM"	"L"	"a"
"36"	"28.8297776258956"	"23.5948740012601"	"20.3434821552818"	"18.3220017685921"	"16.9730986702845"	"16.0082433969683"	"X1"	"15"	"BM"	"L"	"b"
"27"	"20.6771695656436"	"16.738673779433"	"14.1239232540927"	"12.4630811652848"	"11.4200301972328"	"10.7440536321792"	"X1"	"15"	"BM"	"LSK"	"a"
"28"	"22.0053884286659"	"18.4342265938223"	"16.1007394015828"	"14.4647985333599"	"13.2800895581684"	"12.4090632308265"	"X1"	"15"	"BM"	"LSK"	"b"
"48"	"30.0861718295687"	"20.6352204399918"	"16.364969665054"	"14.2317296236944"	"13.0004469929592"	"12.2044179373567"	"X1"	"15"	"BM"	"M"	"a"
"51"	"30.6870368029045"	"19.5668745257613"	"14.4696780874607"	"12.036660113789"	"10.7194231943162"	"9.91746214079382"	"X1"	"15"	"BM"	"M"	"b"
"58"	"41.8841974713542"	"32.3087991924355"	"26.8487812944584"	"23.5461347425477"	"21.4017508989871"	"19.9230794860772"	"X1"	"15"	"BM"	"MP"	"a"
"58"	"36.3716322148379"	"24.7757740260063"	"19.6051933716944"	"17.0247062623252"	"15.5237610547376"	"14.5441127186705"	"X1"	"15"	"BM"	"MP"	"b"
"5"	"4.35184103687874"	"3.81460343758103"	"3.43293272642403"	"3.18115966935442"	"3.01604562013999"	"2.90471406098918"	"X1"	"15"	"SP"	"DC"	"a"
