"purcentage"	"mouse"	"month"	"organ"	"type"	"rep"
1.8	"1"	"12"	"BL"	"M"	"a"
2.2	"1"	"13"	"BL"	"M"	"a"
1.5	"1"	"14"	"BL"	"M"	"a"
1.8	"1"	"15"	"BL"	"M"	"a"
1.9	"1"	"15"	"BM"	"LSK"	"a"
4.6	"1"	"15"	"BM"	"M"	"a"
4.6	"1"	"15"	"BM"	"M"	"a"
1.9	"1"	"15"	"BM"	"MP"	"a"
1.5	"1"	"15"	"SP"	"M"	"a"
1.9	"1"	"5"	"BL"	"M"	"a"
1.9	"1"	"5"	"BL"	"M"	"a"
3.2	"2"	"12"	"BL"	"M"	"a"
2.2	"2"	"13"	"BL"	"M"	"a"
1.8	"2"	"14"	"BL"	"M"	"a"
2.8	"2"	"15"	"BL"	"M"	"a"
1.5	"2"	"15"	"BM"	"LSK"	"a"
2.9	"2"	"15"	"BM"	"M"	"a"
2.9	"2"	"15"	"BM"	"M"	"a"
2.7	"2"	"15"	"BM"	"MP"	"a"
2	"2"	"15"	"SP"	"M"	"a"
1.5	"2"	"4"	"BL"	"M"	"a"
2.3	"2"	"5"	"BL"	"M"	"a"
3.3	"3"	"12"	"BL"	"M"	"a"
2.4	"3"	"13"	"BL"	"M"	"a"
2.4	"3"	"14"	"BL"	"M"	"a"
4.3	"3"	"15"	"BL"	"M"	"a"
3.3	"3"	"15"	"BM"	"LSK"	"a"
3.4	"3"	"15"	"BM"	"M"	"a"
3.4	"3"	"15"	"BM"	"MP"	"a"
2.8	"3"	"15"	"SP"	"M"	"a"
2.2	"4"	"12"	"BL"	"M"	"a"
2.1	"4"	"13"	"BL"	"M"	"a"
2	"4"	"14"	"BL"	"M"	"a"
2.7	"4"	"15"	"BL"	"M"	"a"
3.4	"4"	"15"	"BM"	"LSK"	"a"
3.9	"4"	"15"	"BM"	"M"	"a"
3.8	"4"	"15"	"BM"	"MP"	"a"
1.9	"4"	"15"	"SP"	"M"	"a"
2.5	"1"	"10"	"BL"	"M"	"a"
2.5	"1"	"11"	"BL"	"M"	"a"
1.1	"1"	"4"	"BL"	"M"	"a"
1.2	"1"	"6"	"BL"	"M"	"a"
1	"1"	"7"	"BL"	"M"	"a"
1.5	"1"	"8"	"BL"	"M"	"a"
2	"1"	"9"	"BL"	"M"	"a"
1.8	"2"	"10"	"BL"	"M"	"a"
4.2	"2"	"11"	"BL"	"M"	"a"
2	"2"	"6"	"BL"	"M"	"a"
1.7	"2"	"7"	"BL"	"M"	"a"
1.6	"2"	"8"	"BL"	"M"	"a"
2.3	"2"	"9"	"BL"	"M"	"a"
3.7	"3"	"10"	"BL"	"M"	"a"
3.7	"3"	"11"	"BL"	"M"	"a"
1.6	"3"	"4"	"BL"	"M"	"a"
2.3	"3"	"5"	"BL"	"M"	"a"
2.1	"3"	"6"	"BL"	"M"	"a"
1.6	"3"	"7"	"BL"	"M"	"a"
2	"3"	"8"	"BL"	"M"	"a"
3	"3"	"9"	"BL"	"M"	"a"
2.9	"4"	"10"	"BL"	"M"	"a"
3.7	"4"	"11"	"BL"	"M"	"a"
1.6	"4"	"4"	"BL"	"M"	"a"
2.1	"4"	"5"	"BL"	"M"	"a"
1.6	"4"	"6"	"BL"	"M"	"a"
2.5	"4"	"7"	"BL"	"M"	"a"
1.8	"4"	"8"	"BL"	"M"	"a"
2.7	"4"	"9"	"BL"	"M"	"a"
