""	"mouse"	"month"	"organ"	"type"	"N1"	"N2"	"Nobs"	"chao"	"var"	"sd"
"27"	"X1"	15	"BM"	"LSK"	23	16	39	47.265625	113.264892578125	10.6425980182531
"28"	"X1"	15	"BM"	"M"	15	42	57	58.3392857142857	6.51876822157434	2.55318785473657
"29"	"X1"	15	"BM"	"MP"	30	43	73	78.2325581395349	34.7686367238105	5.89649359567281
"59"	"X2"	15	"BM"	"LSK"	24	1	25	169	335808	579.489430447182
"60"	"X2"	15	"BM"	"M"	14	39	53	54.2564102564103	6.12427721303461	2.47472770482625
"61"	"X2"	15	"BM"	"MP"	28	43	71	75.5581395348837	28.9314903090294	5.37880008078283
"91"	"X3"	15	"BM"	"LSK"	41	23	64	82.2717391304348	337.906283389496	18.3822273783537
"92"	"X3"	15	"BM"	"M"	36	33	69	78.8181818181818	96.7212622088655	9.83469685393838
"93"	"X3"	15	"BM"	"MP"	22	37	59	62.2702702702703	19.6502872485341	4.43286445185663
"123"	"X4"	15	"BM"	"LSK"	70	30	100	140.833333333333	1147.87037037037	33.8802356894159
"124"	"X4"	15	"BM"	"M"	34	28	62	72.3214285714286	114.694241982507	10.709539765205
"125"	"X4"	15	"BM"	"MP"	25	41	66	69.8109756097561	23.2353890686438	4.82031005938869
