""	"mouse"	"month"	"organ"	"type"	"N1"	"N2"	"Nobs"	"chao"	"var"	"sd"
"1"	"X1"	4	"BL"	"L"	205	20	225	750.3125	228248.28125	477.753368643278
"2"	"X1"	4	"BL"	"M"	40	8	48	98	5450	73.824115301167
"3"	"X1"	5	"BL"	"L"	113	15	128	340.816666666667	50764.8147407407	225.310485199293
"4"	"X1"	5	"BL"	"M"	60	14	74	138.285714285714	5255.68513119533	72.4961042484031
"5"	"X1"	6	"BL"	"L"	44	2	46	288	474804	689.060229588096
"6"	"X1"	6	"BL"	"M"	10	1	11	36	10350	101.734949746879
"7"	"X1"	7	"BL"	"L"	213	21	234	774.107142857143	229898.258746356	479.477068008842
"8"	"X1"	7	"BL"	"M"	11	NA	NA	NA	NA	NA
"9"	"X1"	8	"BL"	"L"	76	25	101	158.76	2541.809664	50.416363058039
"10"	"X1"	8	"BL"	"M"	26	3	29	85.3333333333333	17638.5925925926	132.810363272572
"11"	"X1"	9	"BL"	"L"	152	23	175	426.130434782609	46536.5108901126	215.723227516447
"12"	"X1"	9	"BL"	"M"	24	4	28	64	5544	74.4580418759451
"13"	"X1"	10	"BL"	"L"	42	24	66	84.375	330.75	18.1865334794732
"14"	"X1"	10	"BL"	"M"	30	3	33	108	31050	176.210101867061
"15"	"X1"	11	"BL"	"L"	40	25	65	81	253.44	15.9197989937059
"16"	"X1"	11	"BL"	"M"	39	11	50	84.5681818181818	1998.95510894065	44.7096757865749
"17"	"X1"	12	"BL"	"L"	43	23	66	86.0978260869565	398.955145064519	19.9738615461437
"18"	"X1"	12	"BL"	"M"	26	5	31	64.8	3966.768	62.9822832231414
"19"	"X1"	13	"BL"	"L"	30	1	31	256	817650	904.240012386092
"20"	"X1"	13	"BL"	"M"	5	NA	NA	NA	NA	NA
"21"	"X1"	14	"BL"	"L"	33	23	56	67.8369565217391	161.801573929481	12.7201247607671
"22"	"X1"	14	"BL"	"M"	17	NA	NA	NA	NA	NA
"23"	"X1"	15	"BL"	"L"	17	24	41	44.0104166666667	20.2157841435185	4.49619663087798
"24"	"X1"	15	"BL"	"M"	30	5	35	80	6930	83.2466215530696
"25"	"X1"	15	"BM"	"DC"	85	33	118	172.734848484848	1812.48243453822	42.5732596184297
"26"	"X1"	15	"BM"	"L"	15	27	42	44.0833333333333	12.0627572016461	3.47314802472427
"27"	"X1"	15	"BM"	"LSK"	23	16	39	47.265625	113.264892578125	10.6425980182531
"28"	"X1"	15	"BM"	"M"	15	42	57	58.3392857142857	6.51876822157434	2.55318785473657
"29"	"X1"	15	"BM"	"MP"	30	43	73	78.2325581395349	34.7686367238105	5.89649359567281
"30"	"X1"	15	"SP"	"DC"	26	NA	NA	NA	NA	NA
"31"	"X1"	15	"SP"	"L"	14	25	39	40.96	11.396224	3.37582937957474
"32"	"X1"	15	"SP"	"M"	27	4	31	76.5625	8793.5625	93.7739969287862
"33"	"X2"	4	"BL"	"L"	209	20	229	775.0125	246393.60075	496.380499969529
"34"	"X2"	4	"BL"	"M"	52	14	66	114.285714285714	3037.07288629738	55.1096442221992
"35"	"X2"	5	"BL"	"L"	93	10	103	319.225	77680.9935	278.713102490715
"36"	"X2"	5	"BL"	"M"	42	14	56	87.5	1354.5	36.8035324391559
